Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
139,Gujarat,Surendranagar,22.877,71.7622,Fatepara Devajibhai Govindbhai,GEN,GEN,Bharatiya Janata Party,Lotus,948383,82.63,202907
140,Gujarat,Vadodara,22.4525,73.3237,Narendra Modi,GEN,GEN,Bharatiya Janata Party,Lotus,1161476,81.38,570128
141,Gujarat,Valsad,20.6035,73.3237,Dr. K.C.Patel,ST,ST,Bharatiya Janata Party,Lotus,1123182,82.19,208004
142,Haryana,Ambala,30.3454,77.1025,Rattan Lal Kataria,SC,SC,Bharatiya Janata Party,Lotus,1220125,76.15,340074
143,Haryana,Bhiwani-Mahendragarh,28.5924,75.9928,Dharambir S/O Bhale Ram,GEN,GEN,Bharatiya Janata Party,Lotus,1136173,71.93,129394
144,Haryana,Faridabad,28.1288,77.3324,Krishan Pal,GEN,GEN,Bharatiya Janata Party,Lotus,1279271,72.69,466873
145,Haryana,Gurgaon,28.3192,76.9182,Inderjit Singh Rao,GEN,GEN,Bharatiya Janata Party,Lotus,1156805,69.11,274722
146,Haryana,Hisar,29.2213,75.8999,Dushyant Chautala,GEN,GEN,Indian National Lok Dal,Spectacles,1193697,76.09,31847
147,Haryana,Karnal,29.5999,76.9182,Ashwini Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,986521,77.7,360147
148,Haryana,Kurukshetra,29.9262,76.5488,Raj Kumar Saini,GEN,GEN,Bharatiya Janata Party,Lotus,1045723,51.05,129736
149,Haryana,Rohtak,28.668,76.7337,Deepender Singh Hooda,GEN,GEN,Indian National Congress,Hand,1031357,53.06,170627
150,Haryana,Sirsa,29.5826,75.0611,Charanjeet Singh Rori,SC,SC,Indian National Lok Dal,Spectacles,1320647,53.3,115736
151,Haryana,Sonipat,29.0523,76.9182,Ramesh Chander,GEN,GEN,Bharatiya Janata Party,Lotus,1130932,60.51,77414
152,Himachal Pradesh,Hamirpur,31.5305,76.3637,Anurag Singh Thakur,GEN,GEN,Bharatiya Janata Party,Lotus,799926,76.15,98403
153,Himachal Pradesh,Kangra,32.2246,76.1784,Shanta Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,726482,71.93,170072
154,Himachal Pradesh,Mandi,31.7082,76.9314,Ram Swaroop Sharma,GEN,GEN,Bharatiya Janata Party,Lotus,835744,72.69,39856
155,Himachal Pradesh,Shimla,30.8253,77.3784,Virender Kashyap,SC,SC,Bharatiya Janata Party,Lotus,738047,69.11,84187
